"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1712","Check displaying of dashboard page","LMS system","Fri Jan 16 16:18:24 UTC 2026","passed","Fri Jan 16 16:18:26 UTC 2026","Dashboard","Dashboard","",""
"","1876","User login with wrong email or password","LMS system","Fri Jan 16 16:18:13 UTC 2026","passed","Fri Jan 16 16:18:14 UTC 2026","Authorization","Authentication","",""
"","2781","User login with correct email and password","LMS system","Fri Jan 16 16:18:15 UTC 2026","passed","Fri Jan 16 16:18:18 UTC 2026","Authorization","Authentication","",""
"","1351","Check displaying of empty course list","LMS system","Fri Jan 16 16:18:20 UTC 2026","passed","Fri Jan 16 16:18:21 UTC 2026","Courses","Courses","",""
"","1657","Registration with correct email, username and password","LMS system","Fri Jan 16 16:18:18 UTC 2026","passed","Fri Jan 16 16:18:20 UTC 2026","Registration","Authentication","",""
"","2353","Create course","LMS system","Fri Jan 16 16:18:21 UTC 2026","passed","Fri Jan 16 16:18:24 UTC 2026","Courses","Courses","",""
"","3068","Edit course","LMS system","Fri Jan 16 16:18:22 UTC 2026","passed","Fri Jan 16 16:18:25 UTC 2026","Courses","Courses","",""
"","1950","User login with wrong email or password","LMS system","Fri Jan 16 16:18:13 UTC 2026","passed","Fri Jan 16 16:18:15 UTC 2026","Authorization","Authentication","",""
"","1658","Navigation from login page to registration page","LMS system","Fri Jan 16 16:18:17 UTC 2026","passed","Fri Jan 16 16:18:18 UTC 2026","Authorization","Authentication","",""
"","1558","User login with wrong email or password","LMS system","Fri Jan 16 16:18:15 UTC 2026","passed","Fri Jan 16 16:18:16 UTC 2026","Authorization","Authentication","",""
